几天了怎么还没退款,退款预计1-3个工作日原路返回到账，您注意查收,20221206 16:01:39
为什么我退款一直没通过呢，，科颜氏（Kiehl's）金盏花植萃爽肤水500ml,反馈商家催促处理退款,20221210 14:12:34
我买的好像不是正品，我扫那个码都没有扫出来,建议提供信息反馈核实，,20230107 19:17:05
买声音日历送vip活动结束了？,日历+会员的活动结束了,20230114 13:32:38
想修改收货地址订单地址写错了,建议您可以申请下退款重新拍下下后台修改可能修改失败的，已退款,20221027 16:49:12
申请退款,辛苦麻烦您在订单页面申请一下退款,20230222 12:23:33
我退了Q2，你们什么时候退款,您寄回收到之后会为您处理退款的呢,20230222 12:50:09
小时就没电了，音效也不好审核退货,反馈运营商,20230222 12:28:24
刚买的耳机如何退货,客服已经帮您反馈跟进了有结果给您私信答复的哦,20230222 12:39:07
问题其表示寄到哪里维修,核实告知尊敬的用户您好，关于您反馈的【耳机的】问题，现核实为：【商家回复到目前暂时无法维修，非常抱歉了呢】,20230217 09:59:39
寄到哪里？给你们修理,这边为您核实一下售后地址稍后私信或者短信告知您可以吗,20230216 19:13:57
我刚买了会员，但怎么激活呢。,这个是实物商品，需要收到商品之后，兑换后激活会员的哦,20221225 21:18:52
可能性的艺术还能再下单吗,已商城页面显示为准,20221117 13:12:35
"喜马拉雅2023声音日历+VIP年卡会员（会员直充,日历11月3日起发货）我下错订单了，可以退的吧，已经重拍过了",一般是1-3个工作日处理,20221115 23:46:00
用户接收到短信寄回换货处理当时购买的时候，盒子被我扔了，要紧吗,您找一个盒子寄回即可呢,20230224 22:52:59
我的耳机充电仓关上后还一直连着的蓝牙耗电很快,这边帮您反馈商家核实一下是否解决：,20230224 12:13:17
刚购的耳机是坏的,辛苦确认下您耳机底部的蓝色薄膜是否撕下撕下之后充电试试,20221201 18:03:24
您好，我在商城买的东西，没有收到，退回了，什么时候能收到退款呢,核实中用户称已经收到退款,20230311 20:57:02
不是说运费也给退吗,辛苦您提供支付运费截图和支付宝信息为您登记,20230109 13:51:02
用户进线表示这意思是你们发个残次品给我我还得赔八块钱运费已告知用户最高可为您报销10元运费哦用户认可,反馈商家运费,20230110 16:54:59
我那个退货我先垫付运费吗,寄回地址：耿泽达13535226873广东省深圳市罗湖区清水河街道银湖住宅区，寄回入库后联系。是需要您先垫付运费,20230105 10:58:47
多久发货,一般是下单后48小时，疫情地区会有延迟的,20221201 09:45:00
催促发货,反馈商家催促,20230113 22:09:22
我这个没有用过，过期了,麻烦您按照步骤扫描一下,20230416 09:08:57
我上个月18号的订单现在一个月了还没发货,这边尽快帮您催促发出哦是否解决：,20221117 14:49:56
无法链接使用,尝试下再充会电看看的,20230201 19:32:04
我冲会员送的耳机你家寄东西收件人会显示全称吗,您填写的收件人信息是什么这边发货的就是什么的哦,20230426 23:06:55
耳机左边耳机没用,若小雅AI无线耳机无法开机或无法充电，建议先尝试更换数据线，再尝试恢复出厂设置。喜马拉雅AI真无线耳机1S恢复出厂设置的方法如下:将耳机放入充电仓内，且关闭充电仓，然后长按充电仓正面指示灯按键位置，长按5S后耳机自动恢复出厂设置试试呢,20230303 15:28:10
我想买这个手机，是不是不能用积分,因商品购买均是以页面显示为准，表示该商品是需要付费的,20221129 11:15:44
和订单发货了吗？,还未发出，催促,20221223 11:59:22
昨天下的单到现在还没发货？，爱奇美快充编织数据线简包,一般是下单后48小时发货的,20221031 13:19:58
订单春节前面能发货吗？,您好！受全国春运及疫情的影响，商城将在春节期间（1月10日-1月30日）暂停发货，从1月30日起恢复正常，陆续开始发货，敬请理解！喜马商城全体小伙伴提前恭祝您新春愉快、阖家欢乐！,20230114 22:06:50
提供寄出单号：诉求是退货退款,登记处理,20221114 14:58:05
这个怎么寄过来没有电呢,辛苦您先充下电之后使用注意充电的时候撕下耳机底部的薄膜,20221113 20:29:17
用户再次进线催促已告知核实检查下耳机机身下面的充电触点有没有异物,这边反馈商家核实一下有回复给您短信告知哦是否解决：,20221113 21:01:27
锅发错了，寄回单号，厂家并没有给我继续发货呀,工单,20230219 18:49:55
寄回单号，换货,发群催促,20230215 20:32:31
用户催促物流,催促下发货,20230106 20:10:00
我刚才的订单，一套书是预售的，请问是一起发货？还是先发一套？等预售的出来再发？然后一般是什么快递发？,两个不同商家的呢，辛苦您之后可留意下快递的呢，寄出快递以供应商发出为准，目前无指定的快递哦,20230410 11:06:45
用户催促发货辛苦处理,这边为您催促一下呢~辛苦后续关注一订单页面物流是否更新呢~,20221204 19:01:23
催促发货电商上海微意电子有限公司,已催促,20230406 09:47:07
漫步者X2这款耳机官网蓝牙5.3你这个怎么蓝牙5.1的电商,有两个的哦，您可根据需求选择购买的,20230318 14:13:28
天无理由退货的退货包运费吗？电商,非质量问题用户自行承担的哦~,20230402 23:43:40
买的货为啥还没发货,实物商品将在付款后48小时内发货，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，受疫情影响可能延缓发货，还请您了解,20221031 10:29:55
这个订单里的视频课程怎么看,喜马拉雅APP点击我的点击已购即可查看呢,20230303 23:42:40
缺货用户已经申请退款，咨询退款进度,这边帮您申请下哦，已经发送群里,20230315 17:52:45
快递改签了没有,已改签了,20230322 11:02:18
申请退款退货,"2023-03-2020:53:23浙江省金华市义乌市童店建包仓公司已揽收,王晓英(15868751603)已发货",20230321 13:54:11
不发货我要求退款,您页面申请一下仅退款这边帮您登记一下是否解决：,20230104 13:23:49
催促发货,催促,20221208 15:35:56
为什么还没有发货你们这样有点欺骗顾客啊，我可以退了，在别家买,这边为您登记退款哦是否解决：,20221210 14:08:28
用户表示买的牙膏没有收到，要退款，没有解决。一个月反映无数次无呆。,告知已经签收的哦辛苦您使用该单号查询；如您未收到，可拨打物流中的投递员电话咨询核实其表示自己已经联系了快递快递表示已经送到，但是自己没有收到已发群核实,20230308 16:21:53
我订购的高露洁牙膏，金额19.9元。订单号一直没有收到货，请求退款。为什么没有返款？,核实已签收，辛苦您使用该单号查询；如您未收到，可拨打物流中的投递员电话咨询核实,20230308 13:22:00
这笔订单没有退款已经很久了盲盒已经退回了,2022-11-2723:03显示已经退款了呢,20221127 23:14:30
这个订单没有给我退款,辛苦您看下订单号哦是否解决：,20221128 00:26:19
为什么书还没有收到,已经发货的呢,20221220 08:48:58
商家:四川文轩在线电子商务有限公司用户称物流一直未更新，要求核实处理，辛苦查看,这边为您催促一下，辛苦麻烦您后续关注一下物流是否更新呢,20221226 16:43:51
我买的蓝牙音箱联想的，怎么用,连接蓝牙后播放即可呢故未私信或者短信回复,20221101 10:06:34
我刚刚看了一个漫威联名款这个耳机能接打电话吗,提供截图用户离线,20221102 15:46:13
这个耳机能接打电话吗,需要反馈商家核实下哦,20221102 15:46:38
我购买了2023年日历，为什么会员没续上,202301014001064005377081302订单没有会员,20230111 17:41:07
买会员送漫步耳机×2是送两对吗？是什么型号的,×2是耳机型号不是送两对,20230426 13:22:54
怎么看我的收货地址，大概什么时候发货,喜马拉雅app-我的-全部服务-订单点击商品订单进去查看，核实地址，一般是48小时内发货疫情原因是可能会延迟发货的呢，催促厂家，,20221122 23:18:30
喜马拉雅×keep能量礼盒订购会员现在还无法使用,收到里面会有会员年卡卡片，您激活使用会员哦,20230211 15:44:50
怎么没有蓝色的,请问是哪款商品呢,20230205 10:42:43
现在还能发货么,受全国春运及疫情的影响，商城中的商品将在春节期间（1月10日-1月30日）暂停发货，从1月30日起恢复正常，陆续开始发货~是否解决：,20230122 08:11:10
这款有枕套吗,核实私信是否解决：,20230313 14:12:42
这个是防滑的吗,提供照片核实,20221210 09:11:55
用户催促要求尽快发货，称要求将音箱的颜色更换称红色的，辛苦处理,已经为您催促仓库去处理了呢，您可以次日左右查看一下物流是否更新,20221223 19:07:52
买的东西好久了不发货,受全国春运及疫情的影响，商城中的商品将在春节期间（1月10日-1月30日）暂停发货，从1月30日起恢复正常，陆续开始发货~,20230112 13:51:07
有个商品不能发货帮我退款吧,处理完成退款,20230112 16:49:32
我还有个耳机，一直没收到,商城客服已下班，辛苦您次日九点之后咨询下哦,20221204 23:54:07
数据线发什么快递,不指定快递，购买后点击喜马拉雅APP[我的-全部服务-订单]留意物流信息,20221108 15:49:57
会员没有到账,喜马拉雅×keep能量礼盒这笔订单吗会员是实体卡需要收到后激活到账的呢,20230208 19:49:48
订单都48小时了还没发货呢,已发物流单号：318434126918743,20221229 11:59:00
书什么时候发货呀！,非疫情地区会在48小时发货，这边也帮您跟进催促一下的,20221229 09:04:52
怎么没有更新物流呀,运输中您可以复制在百度查询哦是否解决：,20221230 20:24:51
我的订单里有书，什么时候发货,实物商品将在付款后48小时左右发货，受疫情影响，可能存在延缓发货/配送、商品无货的情况，收货地区仅限中国大陆地区，暂不支持港澳台地区及海外用户收货，给您带来的不便敬请谅解，感谢您的理解!,20221227 19:21:52
我购买的套餐书籍什么时候发货,非疫情地区会在48小时发货,20221228 21:10:52
音响电池怎么换,您使用的那款音箱呢,20230320 08:45:05
昨天买了套书，退款到现在还没成功？,这边帮您登记退款哦1-3个工作日到账呢,20230328 12:25:16
买的东西，我退款还没退款。,催促,20221130 12:26:22
很想知道喜马拉雅会不会有新的活动？,请问您具体看的是哪款商品，离线,20230203 12:53:17
认养一头牛联合会员这个牛奶是如何发货一次性全部邮寄还是可以分批电商,您在下单的时候会跳转到收货地址页面需要您填写正确的收货地址后为您发快递您可提供商品截图这边为您确认13:48用户超时未回复,20230329 13:55:58
